id,text,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1773625437576442280,"@davidyao_dev Hi David, thanks for letting us know, and sorry for the late reply! Can you please send a screenshot of the error message you’re receiving to content@glassdoor.com? Our Care Team is standing by to assist. -Nikki",['1773625437576442280'],2024-03-29T08:17:11.000Z,0,0,0,0,0,32
1773584647542169985,@Pawannnkr Thanks for letting us know! Can you please send a screenshot of the error message you’re receiving to content@glassdoor.com? Our Care Team is standing by to assist. -Nikki,['1773584647542169985'],2024-03-29T05:35:06.000Z,0,0,0,0,0,30
1773576385920930012,"@Ru_VianaTWH Obrigado pela sua mensagem. Nossa equipe de atendimento pode ajudar-lhe com esse problema. Para proteger sua privacidade, por favor, envie-nos um email por aqui: https://t.co/SsEYTBhUzm Obrigado. -Nikki",['1773576385920930012'],2024-03-29T05:02:16.000Z,0,0,0,0,0,26
1773563189159948769,"@Ammarmaster_ @Google @code @CodeWithHarry1 Hello there, thanks for letting us know and kudos to you! 👏 Thanks for being a valuable member of the Glassdoor community. Don’t hesitate to reach out anytime. -Nikki",['1773563189159948769'],2024-03-29T04:09:50.000Z,0,0,1,1,0,37
1773549223717306415,"@ChrisEric99 We genuinely appreciate you for taking the time to share your positive experience with Glassdoor. A great member experience is important to us, and this kind of feedback helps us understand what works best for our members. Again, thanks a lot! -Nikki",['1773549223717306415'],2024-03-29T03:14:20.000Z,0,0,1,0,0,26
1773547148740550841,"@McRadioface Hi there! To protect your privacy, we’ll have to handle this one via email. Can you send a message to content@glassdoor.com? Be sure to message from the email address tied to your Glassdoor profile — that will help us find your account and help get you back up and running. -Nikki",['1773547148740550841'],2024-03-29T03:06:05.000Z,0,0,0,0,0,22
1773543891372752972,"@Prettyxophie That’s frustrating! You’re likely seeing those job posts because our searches are keyword based — if you enter a keyword or phrase that appears in a post, that post may appear in your search results. Here are some search tips — hope they help! https://t.co/32oTH5yWp1 -Nikki",['1773543891372752972'],2024-03-29T02:53:09.000Z,0,1,1,0,0,35
1773503679229829298,@jacobastultz We gratefully acknowledge your valuable feedback and we really appreciate that you took the time to express your thoughts. Can you provide us with some additional information on the issue? Please email our Care Team at content@glassdoor.com and we’ll be in touch ASAP. -Nikki,['1773503679229829298'],2024-03-29T00:13:21.000Z,0,0,0,0,0,37
1773494678517694663,"@_justs0mewords_ That’s frustrating! You’re likely seeing those job posts because our searches are keyword based — if you enter a keyword or phrase that appears in a post, that post may appear in your search results. Here are some search tips — hope they help! https://t.co/32oTH5yWp1 -Nikki",['1773494678517694663'],2024-03-28T23:37:35.000Z,0,0,0,0,0,27
1773251993525522620,"@romainst Thanks for letting us know! We don’t offer direct job placement — and we never charge job seekers to use the platform. Here’s what to do if someone is claiming to be from Glassdoor, or if you think you’ve been the victim of a hiring scam. https://t.co/mY9NduW8j2 -Nikki",['1773251993525522620'],2024-03-28T07:33:15.000Z,0,0,0,0,0,21
