text,id,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
RT @chelsea_cay: Travel and hiking enthusiast Tara Tavener details how human connections form most uniquely on @Intrepid_Travel tours in th…,1777130708374282585,['1777130708374282585'],2024-04-08T00:25:53.000Z,2,0,0,0,0,0
"RT @LouiseBooth: Saudi Arabia is the ultimate Women's Expedition offered by @Intrepid_Travel. 💛

As Sara Omar says, “A lot of people think…",1777118385069084702,['1777118385069084702'],2024-04-07T23:36:54.000Z,2,0,0,0,0,0
"RT @Adventurecom: ""In the dynamic landscape of today’s tourism industry, women are emerging as pivotal players, shaping experiences, narrat…",1777116040532783361,['1777116040532783361'],2024-04-07T23:27:35.000Z,2,0,0,0,0,0
"From @Adventurecom: Lorenzo Mirandola is no ordinary aurora hunter. First dreaming of the northern lights aged six, he’s now living that dream, helping travellers on the hunt to see the nightly spectacle ✨ https://t.co/mlMHv56s9j",1776308829262696471,['1776308829262696471'],2024-04-05T18:00:01.000Z,3,0,6,0,2,1263
"""Group tours can take a lot of stress out of travel for individuals with autism thanks to detailed itineraries provided in advance."" @JamieDavisSmith shares how different sectors of travel can embrace autism acceptance and inclusivity for @AFARmedia. 
https://t.co/KbbEEZlAqn",1775991739775619337,['1775991739775619337'],2024-04-04T21:00:01.000Z,1,0,8,0,0,1561
RT @AFARmedia: This Is What Autism Acceptance Looks Like in the Travel Industry https://t.co/79SPy2AaNA,1775865199473332583,['1775865199473332583'],2024-04-04T12:37:12.000Z,1,0,0,0,0,0
RT @DeirdreMullins: Check out my unforgettable moments of Pura Vida in my #CostaRica travel article @LifeStyleRTE https://t.co/e3puSN6Q8d C…,1775647205606727795,['1775647205606727795'],2024-04-03T22:10:58.000Z,3,0,0,0,0,0
"Our CEO @jamespthornton spoke with @Telegraph about some of the ways travel is changing in the face of the climate crisis, like increased bookings in the cooler 'shoulder season'. 

How are you changing the way you travel? https://t.co/mG3fZulfUS",1775312688744378762,['1775312688744378762'],2024-04-03T00:01:43.000Z,2,0,9,0,0,1742
"""The children were initially confused by the sheer joy showed by us adults, but once we explained how precious orangutans are, the kids understood their privileged position.""

📍 Intrepid traveller Dianne on our 9-day Borneo Family Holiday for @nzherald 
https://t.co/cpPghC21TD",1774992582105567415,['1774992582105567415'],2024-04-02T02:49:43.000Z,1,1,4,0,0,884
"From @Adventurecom: What happens when an Austrian farmer gives up a family tradition, swapping his cattle for row upon row of vegetables and grains? 🤔 That’s what Simon Vetter has done to combat monoculture, overgrazing, and to help tackle climate change. https://t.co/VDcinNG8za",1773455022115668256,['1773455022115668256'],2024-03-28T21:00:01.000Z,2,0,8,0,0,971
