created_at,edit_history_tweet_ids,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-08T16:07:35.000Z,['1777367698164371731'],1777367698164371731,@louiseoldfield Hi Louise! We would be happy to help and provide you with more information! Could you please DM us your booking confirmation number and the email address used to make the reservation? https://t.co/cmoPqUMg0x,0,0,0,0,0,8
2024-04-08T16:00:27.000Z,['1777365900988948758'],1777365900988948758,Current status: Daydreaming about a long summer weekend in Lagos. https://t.co/5cS45ney0h https://t.co/nC7fxmTqfH,6,1,12,0,1,6353
2024-04-08T15:00:21.000Z,['1777350777142448603'],1777350777142448603,What vacation spot doesn’t get enough credit for being amazing?,0,7,7,2,0,11372
2024-04-08T14:30:17.000Z,['1777343212476101059'],1777343212476101059,"@EdinburghHonest Hello there. Please note that all review-related queries need to be addressed via the channel below. Thank you for understanding.
https://t.co/Nb0H3OBUeZ",0,0,0,0,0,5
2024-04-08T13:26:31.000Z,['1777327161180881190'],1777327161180881190,"@louiseoldfield Dear Louise,

Thank you for contacting Tripadvisor.

We are sorry to hear that The Reading Rooms are currently showing without any booking options.

We are happy to discuss which type of booking option would best suit your needs.

Please send us a DM.

https://t.co/3ASWEVx1el",0,1,0,0,0,6
2024-04-08T12:02:31.000Z,['1777306022983405729'],1777306022983405729,"@Christi05570070 Hi there Christine! We're sorry for the inconveniences caused by your recent booking. For best assistance, please DM us the confirmation number, email address, and phone number you used to make this reservation. We're here to help! https://t.co/hhUXi3qGfh",0,0,0,0,0,9
2024-04-08T11:22:34.000Z,['1777295969085694209'],1777295969085694209,"@lyeemoon Hello Iain. We are sorry about this situation. Could you please DM us your email address in order to further assist you?
https://t.co/hhUXi3qGfh",0,0,0,0,0,32
2024-04-08T07:25:43.000Z,['1777236366377545894'],1777236366377545894,"@NeerajkumarS21 Hi Neeraj, thanks for reaching us and reporting your business closure - The Divine Residency. Since we can confirm that your property is no longer bookable on OTA sites, we remove your listing. Please allow 1-2 days for the listing to be completely removed from our site. Thanks!",0,0,0,0,0,11
2024-04-07T17:00:14.000Z,['1777018559115231279'],1777018559115231279,"So you have a goal of being more outdoorsy, but you've found yourself trapped behind a computer screen for much of 2024 and you need a little inspo? Feast your eyes on Tenerife. 

Go whale watching, tour the canyons, and surf some waves. https://t.co/hf3jR2zXJY https://t.co/R9qcyldSGi",17,2,38,1,1,11341
2024-04-07T14:31:05.000Z,['1776981024565604849'],1776981024565604849,Wes Anderson 🤝 Tim Burton = 📍Prague's Old Town https://t.co/aoSoJndWGz https://t.co/uE0MPevYUL,3,0,32,1,2,12650
2024-04-07T14:27:44.000Z,['1776980180273156301'],1776980180273156301,"@chris_biow Hi there! We appreciate you bringing this matter to our attention. At this time, we would suggest that you reset your password here: https://t.co/e5j84wyzsB. If you are still unable to login using your new password, please DM us for best assistance. https://t.co/hhUXi3qGfh",0,0,0,0,0,14
2024-04-07T08:05:37.000Z,['1776884017297514628'],1776884017297514628,"@chris_biow Hi Christopher, we would like to suggest you to clear cache and cookies and try a different browser. If the issue persists, please DM us your email address and what browser you are using. Thanks!",0,1,0,0,0,18
2024-04-06T17:30:02.000Z,['1776663668467400754'],1776663668467400754,Picture this: You have four weeks off to go wherever you want—where are you going? 👇,3,17,19,1,1,18251
2024-04-06T16:31:24.000Z,['1776648916353642911'],1776648916353642911,"@chris_biow Dear Christopher,

We are sorry to hear that you are unable to access your Tripadvisor account due to a login error.

Please kindly direct message us, in order to provide you with further technical assistance.

https://t.co/hhUXi3qGfh",0,1,0,0,0,25
2024-04-05T21:21:06.000Z,['1776359432978354391'],1776359432978354391,Bucket list item: Kayak on a bioluminescent bay in Puerto Rico. https://t.co/6mVfRJIIkd https://t.co/XAIR3ksPCe,16,4,49,0,5,12588
2024-04-05T19:00:14.000Z,['1776323983345947046'],1776323983345947046,"You're not a regular parent, you're a cool parent. A parent who takes their kid to Athens. 

A kid-friendly guide to Athens: https://t.co/lSWFbgqEbg https://t.co/6x7vImiC9c",10,2,31,0,1,9068
2024-04-05T17:00:22.000Z,['1776293818049945977'],1776293818049945977,"What if we told you there's an island in Texas (yes, Texas) that you should visit this summer? We know what you're thinking, ""Texas?! For an island getaway?! You must be joking!"" 

We would never joke about something like that.

📍South Padre Island https://t.co/veIJtMQGb7 https://t.co/wMfrdkCdlG",12,3,26,0,0,8222
2024-04-05T14:45:11.000Z,['1776259796015944066'],1776259796015944066,"Utah is a national park powerhouse. Get the guide to the “Mighty  5” here: https://t.co/CbEcoSugsy



1️⃣ Zion
2️⃣ Arches
3️⃣ Capitol Reef
4️⃣ Bryce Canyon
5️⃣ Canyonlands



Sponsored by @VisitUtah https://t.co/eog281ukX3",13,2,27,0,2,8807
2024-04-05T07:03:33.000Z,['1776143621864956083'],1776143621864956083,"@at5ar Hi Athar! We are sorry that your listing request was rejected. In order for us to check further, could you please provide us with the Listing Request ID (in text) via DM? https://t.co/hhUXi3qGfh",0,0,0,0,0,16
2024-04-04T21:00:12.000Z,['1775991785619124646'],1775991785619124646,Bucket list item: Sail around the world on a cruise. https://t.co/jnMoT1InPx https://t.co/bzJUOxdsby,22,3,35,0,2,10575
