text,id,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
"@rachaeldurant We're so glad you appreciate these, Rachael. Keep up the fantastic work! 👏",1762201963997823061,['1762201963997823061'],2024-02-26T19:44:23.000Z,0,0,1,0,0,21
Faster workflows and smoother communication? Now that's something we can align on. 🤝,1762193341251522797,['1762193341251522797'],2024-02-26T19:10:07.000Z,2,1,6,0,0,2218
"@MCavacini That's what we love to hear! Thanks for the shout-out, Michael! 😊",1762046543652118795,['1762046543652118795'],2024-02-26T09:26:47.000Z,0,0,1,0,0,7
@JElleman12 @uofnorthgeorgia We welcome educators from all institutions looking to set their students up for workplace success!😊,1761057713344110598,['1761057713344110598'],2024-02-23T15:57:32.000Z,0,0,0,0,0,28
"When the goal is to save time, a confusing message is a costly mistake. ⏳ https://t.co/pS8uJuMfpx",1760787068936974448,['1760787068936974448'],2024-02-22T22:02:05.000Z,1,0,7,0,1,2492
"The future of writing is with—not by—AI. 🤝 For higher education, that means creating a playbook that sets both students and faculty up for success.

Join our webinar on Feb. 28 to learn how institutions can embrace AI responsibly to best prepare students for the workplace. ⬇️",1760749383585550343,['1760749383585550343'],2024-02-22T19:32:20.000Z,2,1,11,0,4,2509
@Smartsheet What a smart way to stay in the flow and accelerate communication! 😉,1760724445906317403,['1760724445906317403'],2024-02-22T17:53:15.000Z,0,1,1,0,0,34
"🚨 New data just dropped in our 2024 State of Business Communication report, and we've rounded up the top insights in 90 seconds. ⏱️👇

Find out how generative AI is impacting communication, work satisfaction, and business results in the full report: https://t.co/SyzmJl5Gx6 https://t.co/WKfQacHgnn",1760379090232619464,['1760379090232619464'],2024-02-21T19:00:56.000Z,4,4,18,5,2,3175
"Grammarly’s 2024 Sales Kickoff is a wrap! 🎉

There were countless moments of inspiration and connection, and we’re feeling energized to move forward on our journey as the go-to trusted AI writing partner for teams. 🙌 https://t.co/rjxwn5N2Fy",1760069074569105449,['1760069074569105449'],2024-02-20T22:29:02.000Z,2,4,27,0,0,3656
@Analytical_Josh Way to go! 🙌,1760012833503252789,['1760012833503252789'],2024-02-20T18:45:33.000Z,0,0,1,0,0,17
"@Eric_Weiner48 Thanks for being a fan, Eric! https://t.co/OiO9BF5MkZ",1759947770536792552,['1759947770536792552'],2024-02-20T14:27:01.000Z,0,0,1,0,0,30
@karlymatthews_ And we're over the moon when we receive feedback like this! 🚀,1759810992094015996,['1759810992094015996'],2024-02-20T05:23:30.000Z,0,0,0,0,0,62
@Abigaail 💚,1759653514949619816,['1759653514949619816'],2024-02-19T18:57:45.000Z,0,0,0,0,0,209
"👀 Keep an eye out—our 2024 State of Business Communication report is nearly here!

We’re launching this year’s report with an early access webinar to share first takes on the new findings from industry experts. Register here: https://t.co/FxebPkLj62 https://t.co/i8OX6tgIfl",1759642899195830740,['1759642899195830740'],2024-02-19T18:15:34.000Z,2,1,20,0,0,3182
