created_at,lang,text,edit_history_tweet_ids,conversation_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-10T18:27:08.000Z,en,Healthy weight loss isn’t about eating less calories… https://t.co/hKhC8SQNUO,['2042670731973046589'],2042670731973046589,2042670731973046589,14,7,153,0,31,14498,,paulsaladinomd
2026-04-10T16:02:55.000Z,en,Heal yourself with diet… https://t.co/QWKPLKUDow,['2042634441441325373'],2042634441441325373,2042634441441325373,27,16,432,0,117,29824,,paulsaladinomd
2026-04-09T15:24:11.000Z,en,The biggest flex in 2026… https://t.co/XrxRkmWmzG,['2042262305115664504'],2042262305115664504,2042262305115664504,31,39,679,6,132,89810,,paulsaladinomd
2026-04-08T18:08:47.000Z,en,Butter = heart health? https://t.co/ge1Unpissr,['2041941340460580970'],2041941340460580970,2041941340460580970,41,17,433,2,85,31850,,paulsaladinomd
2026-04-08T15:51:33.000Z,en,Why are you still eating peanut butter? https://t.co/sCvFAYlnvX,['2041906802577527044'],2041906802577527044,2041906802577527044,65,54,530,5,206,73073,,paulsaladinomd
2026-04-07T19:52:17.000Z,en,"the global pharmaceutical industry is worth 1.7 trillion in 2025 because... 

the global ultra-processed food industry is worth 1.9 trillion.

funny how these things are so closely correlated.",['2041604997142417548'],2041604995028541762,2041604997142417548,8,3,123,0,6,11955,1081022379910881280,paulsaladinomd
2026-04-07T19:52:16.000Z,en,"the vast majority of human health issues can be solved by simply not eating garbage foods.

eat meat, eat plants, eat what you want as long as it's single ingredient foods and foods with ingredients your great-grandmother would recognize.

why is this so hard for us to grasp?",['2041604995028541762'],2041604995028541762,2041604995028541762,83,54,931,10,46,34264,,paulsaladinomd
2026-04-07T15:22:05.000Z,en,Texas Roadhouse uses fake butter!? 🤢 https://t.co/cJDOVewFeg,['2041537002022072449'],2041537002022072449,2041537002022072449,863,316,4023,73,1455,616714,,paulsaladinomd
2026-04-06T19:56:10.000Z,en,"This is pretty cool.

What your food eats is important, especially with monogastric animals like chickens and pigs. 

I suspect there will also be massive differences for truly grass-fed beef vs feedlot beef. We're going to test it! Stay tuned. https://t.co/6tzKx3IVrY",['2041243586218360877'],2041243586218360877,2041243586218360877,16,6,224,1,69,35719,,paulsaladinomd
2026-04-06T18:49:00.000Z,en,"optimal lab ranges your doctor won't tell you about: 

triglyceride/HDL: &lt;1
fasting insulin: &lt;5 uIU/mL
fasting glucose &lt;80 mg/dL
TSH: &lt;2 mIU/L
free T3: &gt;3.4 pg/mL
free T4: &gt;1.2 ng/dL
hs-CRP: &lt;.5 mg/L
homocysteine: &lt;9 umol/L
prolactin: &lt; 10 ng/mL (male) &lt; 12 ng/mL ( non pregnant",['2041226683882291479'],2041226683882291479,2041226683882291479,126,51,1322,8,2481,123220,,paulsaladinomd
