conversation_id,created_at,id,lang,text,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2042813675241631796,2026-04-11T03:55:08.000Z,2042813675241631796,en,"T2 @PReedGolf talks about his mindset heading into the weekend at @TheMasters at @vistajet house with Chad Mumm from @netflix @FullSwingGolf &amp; @emmmacarpenter.

Will he stop Rory from going back to back?

#themasters https://t.co/QYhBmw13JS",['2042813675241631796'],1,0,2,0,0,1198,Sportico
2042677031821770984,2026-04-10T18:52:10.000Z,2042677031821770984,en,"⛳️ x 🏈 Is there a point at which theres too much @NFL football?

Even during @TheMasters, football is still a part of the conversation. @novy_williams with @JasonGarrett at the Double Eagle Club in Augusta.

@IntersportBuzz https://t.co/9XUqOjjOyz",['2042677031821770984'],1,0,4,0,0,1960,Sportico
2042648806974529996,2026-04-10T17:00:00.000Z,2042648806974529996,en,"MLB's average salary rose 3.4% to a record $5.34 million on opening day, per @AP_Sports 

The average has risen 28% under the current five-year CBA, which expires in December. https://t.co/qpi4kmnLID",['2042648806974529996'],4,0,7,0,1,2147,Sportico
2042629653492383904,2026-04-10T15:43:54.000Z,2042629653492383904,en,"The Knicks and Rangers could be paying an additional $75 million per year if MSG Sports completes a spinoff due to a tax rule for public companies that takes effect in 2027.

Full story: https://t.co/6tWExvZnDi https://t.co/SwxCpH3ptb",['2042629653492383904'],4,0,9,0,2,2645,Sportico
2042629257138999502,2026-04-10T15:42:19.000Z,2042629257138999502,en,"Are there any real threats to investment in big time pro sports leagues? 

Alex Michael, Senior Managing Director at LionTree, discusses with @soshnick at the Double Eagle Club in Augusta.

@IntersportBuzz https://t.co/H6ptrQV9tt",['2042629257138999502'],1,0,5,0,0,1738,Sportico
2042618614944272742,2026-04-10T15:00:02.000Z,2042618614944272742,en,Can LIV Golf survive without Bryson? 🤔 https://t.co/QQbb3vbiJp,['2042618614944272742'],0,0,1,0,0,1008,Sportico
2042616500083638364,2026-04-10T14:51:38.000Z,2042616500083638364,en,"The NFL is under investigation by the Justice Department centered on whether the league was involved in anticompetitive practices affecting consumers. Our very own @McCannSportsLaw joins @livenowfox with more.

https://t.co/zZRVYm6Hay",['2042616500083638364'],2,0,6,0,0,3662,Sportico
2042614496905048217,2026-04-10T14:43:40.000Z,2042614496905048217,en,".@FWC26NYNJ introduces their official @FIFAWorldCup ambassadors; Eli Manning, Midge Purce, and Josh Hart. https://t.co/a7RL9yLPl1",['2042614496905048217'],4,1,24,3,5,12337,Sportico
2042603518498857218,2026-04-10T14:00:03.000Z,2042603518498857218,en,"The faces are all familiar—Scottie, Rory, Bryson, Xander and Jon—but this year's Masters carries a whiff of novelty.

Full story: https://t.co/eAEYnSPR68 https://t.co/YDJLLQdGQO",['2042603518498857218'],0,0,1,0,0,1054,Sportico
2042572133331591233,2026-04-10T11:55:20.000Z,2042572133331591233,en,Why Masters' New Amazon Deal Doesn't Threaten CBS https://t.co/eAEYnSPR68,['2042572133331591233'],1,1,3,0,0,1542,Sportico
2042425802537488772,2026-04-10T02:13:52.000Z,2042425802537488772,en,"It’s official, three new teams will join the @WNBA 🔜

Full story: https://t.co/FF2GNnVIsu https://t.co/b0srDgpqN9",['2042425802537488772'],1,1,13,0,0,4198,Sportico
2042367650680983941,2026-04-09T22:22:47.000Z,2042367650680983941,en,"Alex Micheal, Managing Director at LionTree, joins @soshnick at the Double Eagle Club. Full interview to come! 

@IntersportBuzz https://t.co/9DiCbdmOYS",['2042367650680983941'],2,0,8,0,0,2248,Sportico
2042342745558114451,2026-04-09T20:43:50.000Z,2042342745558114451,en,"If the Saudi-backed tour wants to retain its biggest star, it’s not going to be cheap.

Now, with his LIV Golf contract set to expire after the 2026 season, DeChambeau faces a critical decision. He’s in talks to potentially remain with LIV, but DeChambeau has considerably more https://t.co/ftLp2sZxJ5",['2042342745558114451'],0,2,2,1,0,3176,Sportico
2042328651224539627,2026-04-09T19:47:49.000Z,2042328651224539627,en,"🚨🎟️ Agenda Announced for Sportico Invest West. Join us on May 6 in San Francisco!

Register now: https://t.co/lg3Kdf0Pnl

Full Agenda here: https://t.co/x0OtsR6hEY https://t.co/i0H4D3mUor",['2042328651224539627'],3,0,9,0,0,2216,Sportico
2042309567867207715,2026-04-09T18:31:59.000Z,2042309567867207715,en,"The @PGA_JohnDaly experience may not be at @Hooters this year, but the golf legend is still setting up shop to meet fans and sell his signature merch.

Daly himself hands over the swag - and even signs it - with T-shirts starting at $40 among other items like hats, towels and https://t.co/NgveDLXBjh",['2042309567867207715'],12,1,48,3,6,18784,Sportico
2042301532960436581,2026-04-09T18:00:04.000Z,2042301532960436581,en,Sports Investing's Next Wave Tops 'Invest West' Agenda https://t.co/oL7IfTkfXa,['2042301532960436581'],1,0,2,0,0,1415,Sportico
2042270315535843801,2026-04-09T15:56:01.000Z,2042270315535843801,en,"Today in sports: #TheMasters begins, while the men's #FrozenFour hits Vegas for the two semifinals

Sportico Slate Rating: 9/10

For more of what’s on TV each night in sports, have Sportico’s PM newsletter delivered to your inbox: https://t.co/m1Pw7U8kxq https://t.co/2CV68U4h1f",['2042270315535843801'],3,0,5,1,2,1537,Sportico
2042269073862504824,2026-04-09T15:51:05.000Z,2042269073862504824,en,"🏎️ @ferraristore at ⛳ @TheMasters: hospitality houses in Augusta are on another level. @vistajet hosted their launch party last night that included a full Ferrari Style pop-up shop.

Some of the pieces included:

- Official racing suits from @Charles_Leclerc &amp; @LewisHamilton  
- https://t.co/K0LAG3EH6M",['2042269073862504824'],1,0,17,0,15,3812,Sportico
2042248461773320568,2026-04-09T14:29:11.000Z,2042248461773320568,en,"Buying a ticket to a game or concert might not seem like entering a contract—but a ticket is a contract, and it contains many terms and conditions, often including an arbitration provision.

That is key to a decision issued by a federal judge in Washington this week to compel https://t.co/wwS3k0zWma",['2042248461773320568'],1,0,4,0,2,2341,Sportico
2042229374569664521,2026-04-09T13:13:20.000Z,2042229374569664521,en,"The United Football League today announced its plans to launch a new team in Oklahoma City beginning with the 2028 spring football season. As a cornerstone of the league’s growth strategy, the yet-to-be named team will bring high-quality professional football and family-friendly https://t.co/nR1gtCeDR9",['2042229374569664521'],20,1,77,1,1,3644,Sportico
2042227637666373832,2026-04-09T13:06:26.000Z,2042227637666373832,en,"Brooklyn Nets owner Joe Tsai's Asian University Basketball League has added Series A investments from Yao Ming, Marc Lasry and David Blitzer.

Full story: https://t.co/eTe4Xlt4wo https://t.co/WWwl94lmvm",['2042227637666373832'],5,0,15,4,4,6557,Sportico
2042222961239691373,2026-04-09T12:47:51.000Z,2042222961239691373,en,"On this Sporticast episode, we chat with Lee Biggerstaff, a finance professor at Miami University in Ohio, about his research into the golfing habits of company executives.

Biggerstaff and his colleagues used publicly available information from the USGA’s handicap database to https://t.co/BfdFUnxZT3",['2042222961239691373'],3,0,5,0,2,2451,Sportico
