created_at,edit_history_tweet_ids,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-09T20:34:16.000Z,['1777797197964173608'],1777797197964173608,13 Beautiful Italian Islands — From Popular Hot Spots to Underrated Gems https://t.co/4WhLaEWSyy,1,0,0,0,1,692
2024-04-09T20:04:13.000Z,['1777789633792795012'],1777789633792795012,15 Stunning White-sand Beaches Around the World https://t.co/u09KDLS0Fx,3,0,6,0,1,3342
2024-04-09T19:34:10.000Z,['1777782071794037126'],1777782071794037126,19 Beautiful Destinations With the Best Scuba Diving in the World https://t.co/Q6d8LsnAm4,5,0,3,0,0,4229
2024-04-09T19:04:11.000Z,['1777774528111763473'],1777774528111763473,33 Tips for Making a Long-haul Flight More Comfortable https://t.co/Sv9vfmUVu9,7,1,8,0,9,4598
2024-04-09T18:34:21.000Z,['1777767018021654573'],1777767018021654573,11 Best Beaches in Spain With Turquoise Waters and Golden Sand https://t.co/cBFN3w4ukh,5,0,12,0,3,4801
2024-04-09T18:04:11.000Z,['1777759428055376336'],1777759428055376336,"There are endless places to explore in Costa Rica, Travel + Leisure's 2024 Destination of the Year. #sponsored by @citibank @americanair  https://t.co/Qt3iiRBWqG",2,1,7,0,1,4673
2024-04-09T17:34:12.000Z,['1777751880686317968'],1777751880686317968,This Stunning Island Is Called the 'Emerald Isle of the Caribbean' — and Has an Active Volcano and Black-sand Beaches https://t.co/b2UiCjSoVh,1,1,6,0,1,4824
2024-04-09T17:04:14.000Z,['1777744340615299457'],1777744340615299457,The 15 Best U.S. Small Towns for a Summer Vacation https://t.co/20m3RwSUlk,1,0,6,0,2,4691
2024-04-09T16:34:12.000Z,['1777736783351923014'],1777736783351923014,The 15 Best Lake Towns in America https://t.co/dCfKZKob9I,5,1,17,0,4,5200
2024-04-09T16:04:10.000Z,['1777729224859673086'],1777729224859673086,Tokyo’s Coolest Neighborhood Just Got Its First Five-star Hotel — Here’s a Look Inside https://t.co/oJpspgYm1t,3,0,8,0,3,4501
2024-04-09T15:34:10.000Z,['1777721674932056122'],1777721674932056122,This North Carolina City Is Called the 'Sedona of the South' — Here's Why https://t.co/096IURR2qn,4,1,8,0,0,5480
2024-04-09T15:04:10.000Z,['1777714124551565329'],1777714124551565329,"Score 1,000 Delta SkyMiles When You Book a Hilton Stay For a Limited Time https://t.co/FgdviQqNAF",2,0,3,0,0,4820
2024-04-09T14:34:12.000Z,['1777706583520141764'],1777706583520141764,Why I Always Visit Bookstores When I Travel https://t.co/KfzkkJHGz2,0,0,6,0,2,4865
2024-04-09T14:15:00.000Z,['1777701751484768289'],1777701751484768289,"The Best Times to Visit New York City for Lower Prices, Fewer Crowds, and More https://t.co/bzKGpmrVm9 https://t.co/NX8O4WiAVm",2,2,6,1,1,4654
2024-04-09T14:04:01.000Z,['1777698987627180177'],1777698987627180177,"In countries where homosexuality is taboo or illegal, #TLAList Advisor David Rubin opens doors for clients to socialize with local LGBTQ members and allies. @DavidTravel  https://t.co/QHllCc69MO",0,0,1,0,0,4409
2024-04-09T13:34:11.000Z,['1777691478443135371'],1777691478443135371,10 Dreamy Amalfi Coast Towns to Visit in Italy https://t.co/7r3s9zzTUm https://t.co/sOXXkAhtmH,3,1,31,0,6,6042
2024-04-09T13:04:10.000Z,['1777683924413509693'],1777683924413509693,The Top 10 African Safari Tours in 2021 https://t.co/IQbjysDozH,6,0,17,0,2,5956
2024-04-09T12:34:12.000Z,['1777676384296394819'],1777676384296394819,9 Best Vacation Destinations for Seniors https://t.co/1Caf57ELSR,0,0,2,0,2,5490
2024-04-09T12:04:11.000Z,['1777668829142810889'],1777668829142810889,This Southern U.S. City Was Named One of the Best Places to Travel in 2024 — How to Plan the Perfect Visit https://t.co/WvKvytkvzJ,0,0,2,0,2,6465
2024-04-09T11:34:10.000Z,['1777661276430241937'],1777661276430241937,The 10 Best Cities in Africa and the Middle East in 2022 https://t.co/gbVNVyXOwG,4,0,7,0,2,6343
2024-04-09T11:04:10.000Z,['1777653728234848269'],1777653728234848269,"These Are the Cities With the Most Beautiful Homes in Europe, According to Pinterest Data https://t.co/TyzoWP2xmn",4,1,6,0,1,6308
2024-04-09T10:34:11.000Z,['1777646180362510336'],1777646180362510336,This Virginia Beach Town Has Some of the Most Affordable Waterfront Real Estate in the Country https://t.co/ABWDyPg4cI,6,0,12,0,2,6400
2024-04-09T10:04:09.000Z,['1777638623451455846'],1777638623451455846,Best Carnival Festivals Around the World https://t.co/zhF7wXUObj,2,0,7,0,3,5683
2024-04-09T09:34:09.000Z,['1777631072764751877'],1777631072764751877,"San Jose, California, Might Be the Country's Most Underrated Tourist Destination — and It Gets 300 Days of Sunshine https://t.co/MOAPklNmX7",2,1,4,0,0,5393
2024-04-09T09:04:10.000Z,['1777623526461055045'],1777623526461055045,The 15 Best Islands in the Continental U.S. in 2022 https://t.co/sG9fseyp6q,3,0,10,0,2,5309
