id,lang,text,created_at,conversation_id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2042675106326229264,en,Being the friend group trip leader is a BLESSING!!!!!! You are an elite employee.,2026-04-10T18:44:31.000Z,2042675106326229264,['2042675106326229264'],1,0,2,0,0,3690,Tripadvisor
2041921134690758922,en,Is the best part of the trip the trip or the song you made up while waiting in line for a museum?,2026-04-08T16:48:30.000Z,2041921134690758922,['2041921134690758922'],0,2,2,1,0,3938,Tripadvisor
2041594936915816474,en,"When the airline loses your luggage, these are the two outfits the group will lend you. https://t.co/UzdOWdoO1M",2026-04-07T19:12:18.000Z,2041594936915816474,['2041594936915816474'],4,1,18,0,0,11845,Tripadvisor
2041581171403059663,en,What the hell do you mean the friend I made when I was 10 during my family trip is getting married this year,2026-04-07T18:17:36.000Z,2041581171403059663,['2041581171403059663'],0,0,10,0,1,5338,Tripadvisor
2041217461371183192,en,What’s the best dish you’ve had while traveling abroad and was it from this place? It keeps making lists. https://t.co/q2F45MCSel,2026-04-06T18:12:21.000Z,2041217461371183192,['2041217461371183192'],1,1,1,0,0,7891,Tripadvisor
2039741178380435670,en,Sending my friends billie eilish boomerang venmo requests for the spring break trip,2026-04-02T16:26:08.000Z,2039741178380435670,['2039741178380435670'],3,2,11,0,0,4741,Tripadvisor
2039485481491296424,en,When is being gently rocked by Christian Huibicki in a hammock going to become a Tripadvisor experience,2026-04-01T23:30:05.000Z,2039485481491296424,['2039485481491296424'],0,1,3,0,0,4608,Tripadvisor
2039045837855310131,en,What’s a popular landmark that made you think like wait I get why this is popular,2026-03-31T18:23:06.000Z,2039045837855310131,['2039045837855310131'],0,6,9,0,1,6335,Tripadvisor
2039027613591822659,en,Amsterdam and tulips go together like uhh uhhhh like me and quadruple checking my passport is still in my bag &lt;3 https://t.co/zmcxkQkcvU,2026-03-31T17:10:41.000Z,2039027613591822659,['2039027613591822659'],1,1,9,0,1,3376,Tripadvisor
2038702794778321080,en,Just when you thought NYC already had everything it has cherry blossoms too…https://t.co/XwPF1uDuhj,2026-03-30T19:39:58.000Z,2038702794778321080,['2038702794778321080'],1,2,11,0,0,4141,Tripadvisor
2037588279554720054,en,Who else goes feral for a Hudson News nuts wall?,2026-03-27T17:51:17.000Z,2037588279554720054,['2037588279554720054'],0,0,11,0,0,4261,Tripadvisor
2037275540047225003,en,It’s SPRING which means NEW which means SKILLCATIONS? https://t.co/5cXxnchadv,2026-03-26T21:08:34.000Z,2037275540047225003,['2037275540047225003'],0,0,2,0,0,4242,Tripadvisor
2037223679755755623,en,What’s the first place you’d send a traveler to in your hometown and is it the place where you had your after-prom?,2026-03-26T17:42:29.000Z,2037223679755755623,['2037223679755755623'],0,3,3,0,0,5124,Tripadvisor
2036528083310879211,en,"Hannah Montana just turned 20 and if that brings up strong feelings, this is your sign to stretch out that lower back before getting anything out of the overhead bins

#HannahMontana #HannahMontana20 #HannahMontanaAnniversary #MileysMemories #PopCulture https://t.co/3aYclv351l",2026-03-24T19:38:26.000Z,2036528083310879211,['2036528083310879211'],5,0,10,0,0,8069,Tripadvisor
2035092862900260974,en,"Museu de Marinha made our 2025 Travelers’ Choice list! Sail away to boraland #BTS #swimtoarirang 💜

https://t.co/N1dqNUDsc4 https://t.co/LI6dwgwV4q",2026-03-20T20:35:23.000Z,2035092862900260974,"['2035092060764872864', '2035092862900260974']",21,1,50,0,2,12932,Tripadvisor
2033955259366662430,en,"And the award goes to… our favorite ballet and opera venues around the world. (In fact, many of these have won Travelers’ Choice Awards, meaning that they’re your favorite too.) https://t.co/QloeIHQQoQ",2026-03-17T17:14:57.000Z,2033955259366662430,['2033955259366662430'],2,2,6,1,0,4060,Tripadvisor
2031837677276868999,en,Exploring Dubrovnik by boat is a moral imperative TBH https://t.co/Dgkv00YELa,2026-03-11T21:00:26.000Z,2031837677276868999,['2031837677276868999'],1,0,20,0,0,5821,Tripadvisor
