text,id,lang,created_at,edit_history_tweet_ids,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username,datetime
"If you struggle with workplace jargon, like Lumon Industries' own Mr. Milchick, Grammarly's here for you. 😏 #severance https://t.co/JsG1nqfM6A",1902916716578934858,en,2025-03-21T02:54:34.000Z,['1902916716578934858'],1902916716578934858,0,0,6,1,0,2027,,Grammarly,2025-03-21 02:54:34+00:00
Nailed it! 📷 But beware—debating British vs. American English can make friendships go gray... or grey. 📷 https://t.co/eU4oYGPCe9,1901693922424078449,en,2025-03-17T17:55:37.000Z,['1901693922424078449'],1901693922424078449,0,1,9,0,0,3080,,Grammarly,2025-03-17 17:55:37+00:00
"Our CEO, @shishirmehrotra, gets it💡people need AI that just works.

This week at #HumanX, Shishir shared his perspective on why too many AI tools neglect the user experience, and how Grammarly’s AI delivers real value from day one. https://t.co/qKYha1GI7H",1900664346474410456,en,2025-03-14T21:44:27.000Z,['1900664346474410456'],1900664346474410456,2,3,14,1,0,2708,,Grammarly,2025-03-14 21:44:27+00:00
Grammarly doesn’t judge your writing. It just makes sure your boss doesn’t. ;),1898075688793784403,en,2025-03-07T18:18:03.000Z,['1898075688793784403'],1898075688793784403,1,2,20,0,0,2464,,Grammarly,2025-03-07 18:18:03+00:00
Works every time. https://t.co/ZTkgwTQD2P,1896645692095140022,en,2025-03-03T19:35:45.000Z,['1896645692095140022'],1896645692095140022,4,1,29,0,3,2424,,Grammarly,2025-03-03 19:35:45+00:00
I'm curious if anyone knows whether X works similarly to Slack? A coworker of mine is interested 👀,1894782024621375682,en,2025-02-26T16:10:12.000Z,['1894782024621375682'],1894782024621375682,0,2,4,0,2,2177,,Grammarly,2025-02-26 16:10:12+00:00
"Your calendar is full. Your inbox is overflowing. You spend more time talking about a project than actually getting work done. 😵‍💫 Sound familiar? 

Dive into our new report to learn how AI can help combat the constant communication swirl. 🌀🌀🌀 https://t.co/1gdj96ewhG https://t.co/tfzaqqnUlM",1892616434850639970,en,2025-02-20T16:44:55.000Z,['1892616434850639970'],1892616434850639970,3,0,8,0,2,2339,,Grammarly,2025-02-20 16:44:55+00:00
"🎉 Thank you to @G2dotcom for naming Grammarly the #2 Best AI Software Product of 2025. There are *hundreds* of AI tools to choose from, and we’re over the moon to be a fan favorite! Thank you to our customers and community for trusting Grammarly to get their best work done. https://t.co/ekRsTmRQGN",1892316770196697590,en,2025-02-19T20:54:10.000Z,['1892316770196697590'],1892316770196697590,3,7,26,1,6,10170,,Grammarly,2025-02-19 20:54:10+00:00
"Because we love you, it’s “𝖸̶𝗈̶𝗎̶'̶𝗋̶𝖾̶ Yours Truly ❤️🌹.” Are we clear?",1890155743518810442,en,2025-02-13T21:47:01.000Z,['1890155743518810442'],1890155743518810442,3,3,17,0,0,3171,,Grammarly,2025-02-13 21:47:01+00:00
We are certainly among the top two but not number two. 😎💚 https://t.co/vElLW6luOP,1890150860573012076,en,2025-02-13T21:27:37.000Z,['1890150860573012076'],1890150860573012076,2,1,14,1,8,4394,,Grammarly,2025-02-13 21:27:37+00:00
