conversation_id,edit_history_tweet_ids,created_at,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
1904936764063482031,['1904936764063482031'],2025-03-26T16:41:31.000Z,Sudeshna Guha has been at the forefront of advancing architectural specifications for the past 19 years. Explore her contributions to improving the chip design process. #NVIDIAlife https://t.co/mQK4V0FMLQ,1904936764063482031,en,7,2,68,0,1,17694,,nvidia
1904637644103180603,"['1904630191726731693', '1904637644103180603']",2025-03-25T20:52:55.000Z,"Dive into the #GTC25 keynote with our #AI-powered chat agent, ready to answer your questions about specific moments, what was visually shown or mentioned, and provide summaries with key highlights. Built using Video Search and Summarization Blueprint (VSS) at https://t.co/RrOL0612p9",1904637644103180603,en,11,22,131,1,6,27878,,nvidia
1902835677332668880,"['1902824059056087491', '1902835677332668880']",2025-03-20T21:32:33.000Z,"Special thanks to @gilbert and @djrosent from the @Acquiredfm podcast for hosting our #GTC25 keynote pregame broadcast. The show was packed with insightful conversations, a surprise guest appearance, and all the excitement building up to our CEO Jensen Huang's keynote.

Watch the https://t.co/nISgdW7XMZ",1902835677332668880,en,14,12,137,3,5,29934,,nvidia
1902423460321874053,"['1902421082017296722', '1902423460321874053']",2025-03-19T18:14:32.000Z,"NVIDIA DGX Spark belongs to a new class computers designed to build and run AI, enabling developers to prototype, fine-tune and inference large #AI models locally and seamlessly deploy to the data center or cloud. #GTC25  https://t.co/034z4t8dhU",1902423460321874053,en,35,10,170,5,16,70080,,nvidia
1902374502488510752,['1902374502488510752'],2025-03-19T15:00:00.000Z,"Discover why tokens are the building blocks of #AI, converting raw data into intelligence that enables AI models to reason at scale.

From groundbreaking discoveries to next-gen AI systems, tokens are the key to AI inference, allowing AI factories to predict, generate, and https://t.co/rS6hScJ3Bn",1902374502488510752,en,27,10,186,6,20,29158,,nvidia
1902041054116741367,['1902041054116741367'],2025-03-18T16:55:00.000Z,"Watch Jensen Huang unveil the latest breakthroughs in AI, robotics, accelerated computing, and more in the #GTC25 keynote.

Now live ⬇️ https://t.co/NGOFFQFYSe",1902041054116741367,en,183,21,724,44,114,664740,,nvidia
1902012133837013210,['1902012133837013210'],2025-03-18T15:00:05.000Z,"🎥 We're live with @AcquiredFM podcast hosts and special guests ahead of the #GTC25 keynote.

Tune in now: https://t.co/ndnF9mVSwF https://t.co/MGJK87NFk9",1902012133837013210,en,16,15,139,4,3,28109,,nvidia
1899514134363877658,['1899514134363877658'],2025-03-11T17:33:55.000Z,Taurean Dyer is on a mission to broaden access to technology and change the world for the better. Learn how he’s doing so in his role as a senior technical product manager for NVIDIA RAPIDS. #NVIDIAlife  https://t.co/iCdl6bqG7R,1899514134363877658,en,8,2,100,4,5,26582,,nvidia
1899170820905136523,['1899170820905136523'],2025-03-10T18:49:43.000Z,"A new #AI education initiative in the State of Utah, developed with NVIDIA, is set to advance the state’s commitment to workforce training and economic growth. https://t.co/2PaXdQ2g26",1899170820905136523,en,34,24,209,3,3,40603,,nvidia
1898074168597352560,['1898074168597352560'],2025-03-07T18:12:00.000Z,"For 16 years running, NVIDIA technologies have powered every Academy Award-nominated film for Best #VFX. This year, NVIDIA researchers are honored for their groundbreaking work in simulation, denoising, and rendering. #GTC25 https://t.co/E7mYC3MYMT",1898074168597352560,en,34,11,309,5,10,38587,,nvidia
1897421841397948917,['1897421841397948917'],2025-03-05T22:59:54.000Z,"At #GTC25, attendees can explore how nations, state and local governments, higher education and telecom companies are embracing #AI factories. https://t.co/rtLTg24glJ",1897421841397948917,en,31,8,130,2,9,35453,,nvidia
1897026806500188564,['1897026806500188564'],2025-03-04T20:50:10.000Z,"At #GTC25, industry experts will share how they’re using AI agents to drive innovation in customer service, cybersecurity, retail, automotive, financial services, healthcare, telecommunications and more.

Browse our curated #agenticAI sessions: https://t.co/8iqGQJleEb https://t.co/frUKMPQ7vC",1897026806500188564,en,32,7,171,5,3,38455,,nvidia
1896700942382510159,['1896700942382510159'],2025-03-03T23:15:18.000Z,"TSMC's new fabs will be the foundational pillar of a new technology supply chain centered in the United States. NVIDIA will fully utilize TSMC's global manufacturing network to enhance our supply agility and resilience.

Latest news from the TSMC Press Center:",1896700942382510159,en,230,36,1621,36,72,197609,,nvidia
1896612260552016332,['1896612260552016332'],2025-03-03T17:22:54.000Z,"This World Wildlife Day, learn how #AI equips global organizations and on-the-ground conservationists to save rhinos, classify sharks, detect wildfires and more: https://t.co/ForTNOkemX

#WWD2025 
@conservationx https://t.co/sDWAUukHg8",1896612260552016332,en,35,3,180,4,18,39736,,nvidia
1894882326972080223,['1894882326972080223'],2025-02-26T22:48:46.000Z,"NVIDIA is headed to @NSBE’s 2025 Annual Convention in Chicago, IL. Swing by our booth to meet the team, hear about our work, and discover opportunities to help us shape the future.

Explore how you can make an impact with us: https://t.co/5yVu66ZQa7
#NSBE2025 #NVIDIAlife https://t.co/Y460txboLz",1894882326972080223,en,31,37,193,4,11,67817,,nvidia
1894826542410199239,['1894826542410199239'],2025-02-26T19:07:06.000Z,"Up to 10,000 times more energy efficient than traditional high-resolution weather prediction, NVIDIA Earth-2’s CorrDiff model could improve disaster preparedness and save lives by enabling #AI-powered kilometer-scale forecasts.

➡️https://t.co/VQ8hmJ5kv5
#NVIDIAResearch https://t.co/Ok4yL32Aoo",1894826542410199239,en,78,16,416,6,19,55561,,nvidia
1894455961672200344,['1894455961672200344'],2025-02-25T18:34:33.000Z,"Amphitrite, a member of the #NVIDIAInception program, uses satellite data and #AI to simulate and predict oceanic currents and weather. ➡️ https://t.co/nN0JAwAN54

This helps reduce travel times, fuel consumption, and, ultimately, carbon emissions. https://t.co/KWCkuS7g4V",1894455961672200344,en,29,5,176,0,10,44432,,nvidia
1894110079537840537,['1894110079537840537'],2025-02-24T19:40:08.000Z,"Meet Malcolm Gutenburg, a thermal engineer at NVIDIA who turns big ideas into reality across our company’s products: https://t.co/a4tFsdCdu6 #NVIDIAlife https://t.co/tPZYnOjW1y",1894110079537840537,en,17,8,192,5,8,45750,,nvidia
1892995292183634251,['1892995292183634251'],2025-02-21T17:50:22.000Z,"AI built for speech is now decoding the language of earthquakes.  

Using speech recognition AI, scientists are able to decode seismic activity, uncovering patterns that could one day help predict earthquakes. Learn more: https://t.co/d5bDvzWFDl https://t.co/Q3Wtu3Zs9a",1892995292183634251,en,47,26,250,6,15,44649,,nvidia
1892678283809923532,['1892678283809923532'],2025-02-20T20:50:41.000Z,"Today we unveiled a new #AI platform, Signs, for teaching how to use American Sign Language. 

Signs guides ASL learners through the process of forming words, using machine learning and computer vision to assess progress.

Learn more: https://t.co/JpYL1QA2uF https://t.co/WwWGmJAt0f",1892678283809923532,en,89,16,412,9,44,60724,,nvidia
1890499621182427390,['1890499621182427390'],2025-02-14T20:33:28.000Z,"Maggie Zhang, a software engineer at NVIDIA, is passionate about how systems can help efficiently solve the world’s greatest challenges. Learn more about their role evaluating NVIDIA NIM microservices: https://t.co/GrE90lbX1m #NVIDIAlife https://t.co/VpXkJHiAOK",1890499621182427390,en,24,0,181,0,5,38626,,nvidia
1889403545402675696,['1889403545402675696'],2025-02-11T19:58:03.000Z,"Our contributions to accelerating medical imaging, genomics, computational chemistry and #AI-powered robotics were honored Friday at the Precision Medicine World Conference, where our founder and CEO Jensen Huang received a Luminary award.

Learn more on our blog: https://t.co/NkUdQwDk3B",1889403545402675696,en,75,16,388,6,8,43255,,nvidia
1886862540266975517,['1886862540266975517'],2025-02-04T19:41:00.000Z,"Working with @calstate, we look forward to training more than 460,000 students and 63,000 faculty and staff to use advanced #AI technologies to help unlock economic opportunities and drive innovation. https://t.co/a1Xc3Dxjbd",1886862540266975517,en,66,10,304,5,21,75633,,nvidia
1885383291366240617,['1885383291366240617'],2025-01-31T17:43:00.000Z,Andres Diaz-Pinto is on a mission to change lives by creating new frontiers in healthcare. Discover how his work accelerates the adoption of deep learning in medical imaging. #NVIDIAlife https://t.co/eDTJPlaLeb,1885383291366240617,en,25,8,159,6,11,47801,,nvidia
1885112399113707896,['1885112399113707896'],2025-01-30T23:46:34.000Z,The open source DeepSeek-R1 model is now available as an NVIDIA NIM microservice preview on https://t.co/bBiHtSVqqK to help developers securely experiment with its advanced AI reasoning capabilities. https://t.co/jXVv9UaEY8,1885112399113707896,en,337,0,1643,79,277,472144,,nvidia
1880316050987724888,['1880316050987724888'],2025-01-17T18:07:35.000Z,"Kazuki Onodera, a Kaggle grandmaster, never expected his childhood hobby to inform his life’s work. Learn how he turned his passion for games into real impact. #NVIDIAlife https://t.co/wXqOkY4XYI",1880316050987724888,en,26,7,218,2,20,74120,,nvidia
1880034245466259739,['1880034245466259739'],2025-01-16T23:27:48.000Z,"Introducing #NVIDIACosmos, the world foundation model platform built to advance physical #AI. Learn how, through integrations with @NVIDIAOmniverse, developers can create physics-based, geospatially accurate scenarios. Watch the #CES2025 demo ➡️ https://t.co/SKscfItSa0 https://t.co/6yzVSlwwuw",1880034245466259739,en,200,17,850,40,106,139334,,nvidia
1879671198461931612,['1879671198461931612'],2025-01-15T23:25:10.000Z,"Witness groundbreaking #AI-powered innovations. ✨

Watch the #CES2025 demo to see the latest across gaming, automotive, manufacturing, robotics and more: https://t.co/P9yJuuQwaN https://t.co/u99rKWPvov",1879671198461931612,en,105,18,582,15,56,66518,,nvidia
1879284924647108805,['1879284924647108805'],2025-01-14T21:50:16.000Z,"Check out the NVIDIA #CES2025 keynote highlights, featuring groundbreaking AI innovations in gaming, creative tools, robotics, and automotive. https://t.co/j4C54kMVdf https://t.co/F4rd5eQpuC",1879284924647108805,en,55,6,354,2,15,50367,,nvidia
1879233778893148487,['1879233778893148487'],2025-01-14T18:27:02.000Z,"Author Tae Kim joins Erik Torenberg and Byrne Hobart to discuss his book 'The NVIDIA Way,' highlighting CEO Jensen Huang's transformation of NVIDIA into a tech giant, the company's unique culture, and crucial strategic decisions. https://t.co/FIx5IatFNg",1879233778893148487,en,29,6,149,1,14,39802,,nvidia
1878747714261016908,"['1878747422257459655', '1878747714261016908']",2025-01-13T10:15:35.000Z,"The Biden Administration's ""AI Diffusion"" rule will stifle innovation and undermine America’s global technology leadership. Restricting access to mainstream computing risks derailing AI progress for industries at home and abroad. 

America’s strength lies in innovation and",1878747714261016908,en,1538,155,9428,567,865,2035668,,nvidia
1877860879233957932,['1877860879233957932'],2025-01-10T23:31:37.000Z,"We had a great week at #CES2025. 

Watch the recap of our CEO Jensen Huang’s keynote that unveiled groundbreaking advancements across #AI and computing, including our partnerships and innovations that are transforming industries. https://t.co/L90v02AST1",1877860879233957932,en,79,11,354,7,28,58052,,nvidia
1877135662098559051,"['1877135427498553435', '1877135662098559051']",2025-01-08T23:29:51.000Z,"Introducing the NVIDIA Project DIGITS personal AI supercomputer, powered by the GB10 Grace Blackwell Superchip: https://t.co/sHjW920BE4

Project DIGITS enables developers to prototype, fine-tune and inference models locally and seamlessly deploy at scale to the data center or https://t.co/UZwm1evrzU",1877135662098559051,en,102,47,538,12,56,50425,,nvidia
1877077647206805888,['1877077647206805888'],2025-01-08T19:39:20.000Z,"Discover how the #AIFactory generates tokens to help build a future filled with endless possibilities—accelerated by human ingenuity and NVIDIA.

Watch the video: https://t.co/kmuED73Psd 
#CES2025 https://t.co/8qWFNHnu24",1877077647206805888,en,42,6,280,3,14,42085,,nvidia
1876716027712512026,"['1876715089543193044', '1876716027712512026']",2025-01-07T19:42:23.000Z,"Our founder and CEO Jensen Huang kicked off #CES2025 with a news-packed keynote that included new products to advance gaming, autonomous vehicles, robotics, and agentic #AI. @CES 

Catch up on the latest announcements and watch the replay: https://t.co/dZatkjFUu2",1876716027712512026,en,88,16,540,18,31,73218,,nvidia
1876687620459368922,"['1876685138740052324', '1876687620459368922']",2025-01-07T17:49:30.000Z,"#CES2025 attendees have a chance to enter our #ExploreToWin sweepstakes. Learn how➡️ https://t.co/fuJGe4mGwl
@CES https://t.co/5RRZHS10fq",1876687620459368922,en,13,16,159,0,6,64112,,nvidia
