node1,node2
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
1,0
1,3
1,4
1,5
1,7
1,9
1,23
1,26
1,29
1,30
1,35
1,38
1,40
1,42
1,46
1,56
1,74
1,91
1,93
1,97
2,0
2,10
2,12
2,13
2,20
2,29
2,30
2,32
2,33
2,34
2,40
2,45
2,47
2,50
2,55
2,63
2,79
2,84
2,113
2,114
3,0
3,1
3,4
3,6
3,7
3,9
3,11
3,20
3,26
3,27
3,30
3,36
3,38
3,42
3,46
3,49
3,54
3,112
3,116
4,0
4,1
4,3
4,5
4,7
4,9
4,11
4,23
4,26
4,30
4,38
4,42
4,46
4,74
4,91
4,93
5,0
5,1
5,4
5,7
5,9
5,11
5,23
5,26
5,29
5,30
5,38
5,40
5,42
5,56
5,74
5,91
5,93
5,97
6,0
6,3
6,40
6,47
6,116
7,0
7,1
7,3
7,4
7,5
7,9
7,11
7,16
7,23
7,26
7,29
7,30
7,35
7,36
7,38
7,40
7,42
7,54
7,56
7,58
7,74
7,91
7,93
7,97
8,0
8,32
8,61
9,0
9,1
9,3
9,4
9,5
9,7
9,11
9,23
9,26
9,30
9,38
9,40
9,42
9,46
9,54
10,0
10,2
10,28
10,30
10,33
10,53
10,77
10,79
10,100
10,114
11,0
11,3
11,4
11,5
11,7
11,9
11,23
11,26
11,29
11,30
11,35
11,38
11,40
11,42
11,46
11,54
11,56
11,74
11,91
11,93
11,97
12,0
12,2
12,13
12,14
12,30
12,31
12,35
12,40
12,41
12,43
12,45
12,49
12,51
12,57
12,61
12,74
12,91
13,0
13,2
13,12
13,17
13,19
13,27
13,29
13,30
13,34
13,35
13,37
13,45
13,47
13,49
13,51
13,61
13,67
13,86
13,87
13,88
13,92
13,98
13,105
13,106
13,115
13,118
14,0
14,12
14,35
15,0
15,30
15,47
15,49
15,62
16,0
16,7
16,30
16,35
16,42
16,45
17,0
17,13
17,18
17,20
17,27
17,30
17,36
17,37
17,45
17,47
17,49
17,50
17,58
17,61
17,68
17,71
17,75
17,83
17,92
17,103
17,109
17,112
17,115
18,0
18,17
18,22
18,27
18,30
18,36
18,45
18,49
18,50
18,58
18,68
18,71
18,75
18,80
18,83
18,103
18,112
18,115
19,0
19,13
19,30
19,45
20,0
20,2
20,3
20,17
20,27
20,35
20,36
20,37
20,40
20,45
20,47
20,49
20,50
20,52
20,58
20,67
20,68
20,75
20,80
20,83
20,108
20,112
20,116
21,0
21,25
21,27
21,30
21,34
21,35
21,49
21,75
21,101
22,0
22,18
22,30
22,49
22,115
23,0
23,1
23,4
23,5
23,7
23,9
23,11
23,26
23,30
23,38
23,40
23,42
23,46
24,0
24,27
24,30
24,35
24,50
24,101
24,112
25,0
25,21
25,40
26,0
26,1
26,3
26,4
26,5
26,7
26,9
26,11
26,23
26,29
26,30
26,35
26,38
26,40
26,42
26,45
26,46
26,54
26,56
26,74
26,91
26,97
27,0
27,3
27,13
27,17
27,18
27,20
27,21
27,24
27,30
27,37
27,47
27,49
27,50
27,51
27,58
27,61
27,67
27,68
27,71
27,72
27,75
27,80
27,83
27,87
27,98
27,101
27,108
27,112
27,115
27,116
28,0
28,10
28,53
28,77
29,0
29,1
29,2
29,5
29,7
29,11
29,13
29,26
29,30
29,35
29,41
29,42
29,47
29,52
29,54
29,56
29,61
29,66
29,67
29,74
29,76
29,91
29,92
29,102
29,106
30,0
30,1
30,2
30,3
30,4
30,5
30,7
30,9
30,10
30,11
30,12
30,13
30,15
30,16
30,17
30,18
30,19
30,21
30,22
30,23
30,24
30,26
30,27
30,29
30,31
30,32
30,34
30,35
30,36
30,37
30,38
30,39
30,40
30,41
30,42
30,46
30,47
30,49
30,50
30,52
30,54
30,56
30,57
30,58
30,61
30,62
30,65
30,66
30,67
30,69
30,70
30,72
30,74
30,75
30,78
30,80
30,82
30,83
30,88
30,89
30,90
30,91
30,93
30,94
30,95
30,97
30,99
30,102
30,103
30,105
30,106
30,108
30,109
30,115
30,116
30,121
31,0
31,12
31,30
31,43
31,45
31,61
31,88
31,112
31,120
32,0
32,2
32,8
32,30
32,34
33,0
33,2
33,10
33,79
33,114
34,0
34,2
34,13
34,21
34,30
34,32
34,61
34,63
34,84
34,111
34,119
35,0
35,1
35,7
35,11
35,12
35,13
35,14
35,16
35,20
35,21
35,24
35,26
35,29
35,30
35,36
35,37
35,38
35,41
35,42
35,43
35,45
35,47
35,49
35,54
35,56
35,61
35,67
35,74
35,92
35,93
35,97
35,102
35,106
36,0
36,3
36,7
36,17
36,18
36,20
36,30
36,35
36,40
36,45
36,49
36,67
36,83
36,102
36,103
36,108
36,112
36,115
37,0
37,13
37,17
37,20
37,27
37,30
37,35
37,47
37,49
37,61
37,67
37,68
37,71
37,94
37,109
37,112
37,115
38,0
38,1
38,3
38,4
38,5
38,7
38,9
38,11
38,23
38,26
38,30
38,35
38,42
38,93
38,97
39,0
39,30
39,105
40,0
40,1
40,2
40,5
40,6
40,7
40,9
40,11
40,12
40,20
40,23
40,25
40,26
40,30
40,36
40,41
40,42
40,43
40,45
40,46
40,47
40,50
40,51
40,54
40,56
40,58
40,61
40,69
40,71
40,74
40,76
40,103
41,0
41,12
41,29
41,30
41,35
41,40
41,43
41,47
41,51
41,61
41,65
42,0
42,1
42,3
42,4
42,5
42,7
42,9
42,11
42,16
42,23
42,26
42,29
42,30
42,35
42,38
42,40
42,46
42,54
42,56
42,74
42,91
42,93
42,97
43,0
43,12
43,31
43,35
43,40
43,41
43,50
43,51
43,61
43,86
43,87
43,88
43,98
43,120
43,121
45,0
45,2
45,12
45,13
45,16
45,17
45,18
45,19
45,20
45,26
45,31
45,35
45,36
45,40
45,49
45,50
45,52
45,57
45,58
45,61
45,74
45,78
45,83
45,93
45,115
46,0
46,1
46,3
46,4
46,9
46,11
46,23
46,26
46,30
46,40
46,42
47,0
47,2
47,6
47,13
47,15
47,17
47,20
47,27
47,29
47,30
47,35
47,37
47,40
47,41
47,49
47,51
47,61
47,65
47,66
47,67
47,68
47,70
47,76
47,80
47,98
48,0
48,77
49,0
49,3
49,12
49,13
49,15
