,name,username,label,category,post_activity,fan_count,talking_about_count,users_can_post
695,1.24E+14,1brianroberts,Brian Roberts,Athlete,0,5601,0,no
1087,4.00E+14,22RudyGay,Rudy Gay,Athlete,0,375770,131,no
634,13372817801,23andMe,23andMe,Product/Service,0.29,452384,9030,yes
587,1.27E+14,3DSkateboards,3d Skateboards,Product/Service,0,22625,12,yes
943,1.68E+14,3GerardPique,Gerard Piqué,Athlete,0.01,18913264,9758,yes
447,1.54E+15,60SecDocs,60 Second Docs,Media/News Company,0.04,1060661,37802,yes
287,1.11E+14,7egend.cr,7egend,Software Company,0,5553,67,yes
1089,43584860851,AaronBrooks,Aaron Brooks,Athlete,0,184824,48,yes
937,1.84E+14,aaronlennon,Aaron Lennon,Athlete,0,647616,161,no
900,1.01E+11,aaronmaybinart,Aaron Maybin,Artist,0,4036,4,no
744,75223102189,abbywambach,Abby Wambach,Athlete,0,573732,587,yes
786,3.68E+11,Academy,Academy Sports + Outdoors,Retail Company,0.09,3555236,21754,yes
747,1.47E+11,ACMilan,AC Milan,Sports Team,0.34,24892641,105086,yes
693,88711723865,AdamJones,Adam Jones,Athlete,0,78324,25,yes
408,5.54E+14,adinvitational,Abu Dhabi Invitational,Sports Event,0.01,891,3,yes
215,6.77E+14,AdnanJanuzaj,Adnan Januzaj,Athlete,0,1552714,495,no
77,8782279894,adventuresportsnetwork,Adventure Sports Network,News & Media Website,0.32,626783,8018,yes
258,1.45E+14,afamilitar,Academia da Força Aérea - AFA,Armed Forces,0.04,430326,3783,no
575,1.52E+14,AirForce1,Nike Air Force 1,Product/Service,0,2915819,2019,no
1131,1.50E+14,AirMax,Nike Air Max,Product/Service,0,8889390,7131,no
464,2.56E+14,ajjoshi,AJ Joshi,Entrepreneur,0.01,67559,97,yes
994,1.81E+14,AJPriceNBA,A.J. Price,Athlete,0,19178,3,no
610,4.45E+14,akbargbaja,Akbar Gbajabiamila,Public Figure,0.01,31171,293,yes
511,1.33E+14,AkronDrumline,The University of Akron Drumline,College & University,0,498,0,yes
515,31021122769,AkronLaw,The University of Akron School of Law,College & University,0,2371,11,yes
548,1.40E+11,akronpublicschools,Akron Public Schools,Public School,0.11,11015,174,yes
516,3.83E+14,AkronU.HPV,University of Akron Human Power Vehicle Team,Education,0.01,399,1,yes
1050,1.64E+11,AkronZips,Akron Zips,School Sports Team,0.28,28028,872,yes
991,44548242208,AlabamaAthletics,University of Alabama Athletics,School Sports Team,0.26,1069064,38994,no
